"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","173924","Senegalia ricoae","","Fabaceae","Senegalia","ricoae","","(Bocage & Miotto) L.P.Queiroz",,,"","695","","Souza, E.R.de",2011,5,1,"Brazil","Bahia","Abaíra","Catolés Estrada Ouro-Verde - Abaíra.",,,,"Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","173925","Senegalia ricoae","","Fabaceae","Senegalia","ricoae","","(Bocage & Miotto) L.P.Queiroz",,,"","696","","Souza, E.R.de",2011,5,1,"Brazil","Bahia","Abaíra","Catolés Estrada Ouro-Verde - Abaíra.",,,,"Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","",,"GBIF"
"","UFRGS","ICN","132911","Senegalia ricoae","","Fabaceae","Senegalia","ricoae","","(Bocage & Miotto) L.P.Queiroz",,,"","873","","Bocage, A; Gonçalves, CN; Azevedo-Gonçalves, CF",2003,10,3,"Brazil","Ba","Palmeiras","Lagoa da Porta 24 km de Palmeiras",,,"Arbusto, +- 2m de altura; flores cremes.; Caatinga arbustiva.","Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","",,"GBIF"
"","UFRGS","ICN","132914","Senegalia ricoae","","Fabaceae","Senegalia","ricoae","","(Bocage & Miotto) L.P.Queiroz",,,"","876","","Bocage, A; Gonçalves, CN; Azevedo-Gonçalves, CF",2003,10,3,"Brazil","Ba","Palmeiras",,,,"Arbusto, +- 2m de altura; flores cremes.; Caatinga arbustiva.","Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","",,"GBIF"
"","UFRGS","ICN","132911A","Senegalia ricoae","","Fabaceae","Senegalia","ricoae","","(Bocage & Miotto) L.P.Queiroz",,,"","873","","Bocage, A; Gonçalves, CN; Azevedo-Gonçalves, CF",2003,10,3,"Brazil","Ba","Palmeiras","Lagoa da Porta, 24 km de Palmeiras",,,"arbusto, + - 2m de altura; flores creme; caatinga arbustiva","Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","",,"GBIF"
