"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00585562","Bauhinia piresii","","Fabaceae","Bauhinia","piresii","","Vaz & G.P. Lewis","A.M.S.F. Vaz",,"","s.n.","","Fonseca da Silva, D.",2009,8,20,"Brazil","Pará","Parauapebas","Parauapebas, Flona de Carajás, APA do Gelado, célula 7.Terra Firme.",,,"Arvoreto com 3 metros de altura. Folhas e frutos pilosos.","Bauhinia piresii Vaz & G.P. Lewis","",,"GBIF"
"","JBRJ","RB","RB00633520","Bauhinia piresii","","Fabaceae","Bauhinia","piresii","","Vaz & G.P. Lewis","Angela Maria Studart da F. Vaz",,"","545","","Silva, D.F; Tyski, L.",2009,8,20,"Brazil","Pará","Parauapebas","Apa 6 do gelado.",,,"Arbusto 2,8 m de altura. Frutos cor marrom pilosos","Bauhinia piresii Vaz & G.P. Lewis","",,"GBIF"
"","JBRJ","RB","RB00720259","Bauhinia piresii","","Fabaceae","Bauhinia","piresii","","Vaz & G.P. Lewis","A.M.S.F. Vaz",,"","12306","","João Murça Pires; R.P. Belem",1970,6,,"Brazil","Pará","Pará",,,,"Arbusto de 2 m, pétalas brancas, estames brancos, frutos verdes.","Bauhinia piresii Vaz & G.P. Lewis","",,"GBIF"
