"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"106",13484,"BR","NATIVA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-RN-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL-BR-TO-BR-RR-BR-PA-BR-AP-BR-AM-BR-GO"
"107",82971,"BR","NATIVA","Endemica/Amazônia","BR-RO-BR-PA-BR-MT"
"108",119832,"BR","NATIVA","Não endemica/","BR-SP"
"109",103088,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SC-BR-RS"
"110",121036,"BR","NATIVA","Não endemica/","BR-BA-BR-SP"
"111",25097,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-SE-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL-BR-TO-BR-RR-BR-RO-BR-PA-BR-AP-BR-AM-BR-AC-BR-MT-BR-MS-BR-GO-BR-DF"
"112",119975,"BR","NATIVA","Não endemica/","BR-SP-BR-AM"
"113",121659,"BR","NATIVA","Não endemica/","BR-BA-BR-SP"
"114",103087,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SC-BR-RS-BR-PR"
"115",122846,"BR","NATIVA",NA,"BR-SP"
"116",100436,"BR","CULTIVADA","Não endemica/","BR-PB-BR-SP-BR-RJ"
"117",126068,"BR","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-PR-BR-PE-BR-CE-BR-BA-BR-MS-BR-GO-BR-DF"
"118",5532,"BR","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-PR-BR-PE-BR-CE-BR-BA-BR-MS-BR-GO-BR-DF"
"119",125715,"BR","NATIVA",NA,"BR-SP-BR-RJ-BR-SC-BR-CE"
"120",14634,"BR","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG"
"121",124435,"BR","NATIVA","Não endemica/","BR-SP"
