"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"249",10948,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Mata Atlântica","BR-RS-BR-SP-BR-PA"
"250",33954,"BR","NATIVA","Endemica/Amazônia","BR-AM"
"251",14721,"BR","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR"
"252",31736,"BR","NATIVA","Não endemica/Cerrado","BR-MG-BR-MT-BR-GO-BR-DF"
"253",1760,"BR","NATIVA","Endemica/Cerrado","BR-MG"
"254",116271,"BR","CULTIVADA","Não endemica/","NA"
"255",84419,"BR","NATURALIZADA","Não endemica/Amazônia","BR-RO"
"256",85065,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-MG"
"257",14624,"BR","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES"
"258",11589,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-PE-BR-AL-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-MA-BR-BA-BR-TO-BR-RO-BR-PA-BR-AP-BR-AM-BR-MT-BR-MS-BR-GO-BR-DF"
"259",84941,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-PR-BR-PE-BR-CE-BR-BA-BR-PA-BR-AM"
"260",19517,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Mata Atlântica","BR-MA-BR-PA-BR-AM-BR-AC"
"261",115408,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-PR-BR-RN-BR-PE-BR-PB-BR-MA-BR-CE-BR-BA-BR-AL-BR-AM-BR-GO"
"262",581832,"BR","NATIVA","Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-PR-BR-SC-BR-RS-BR-ES-BR-MG-BR-SP-BR-RJ-BR-GO-BR-MS-BR-RN-BR-PI-BR-PE-BR-PB-BR-CE-BR-BA"
"263",86807,"BR","CULTIVADA","Não endemica/Mata Atlântica","BR-SP"
"264",30479,"BR","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-RJ-BR-GO-BR-MS-BR-BA-BR-ES-BR-SP-BR-MG-BR-PR"
"265",24285,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-PR-BR-RN-BR-PI-BR-PE-BR-PB-BR-MA-BR-CE-BR-AL-BR-RO-BR-AC-BR-MT-BR-MS-BR-GO-BR-DF"
"266",105381,"BR","CULTIVADA","Não endemica/Mata Atlântica","BR-SP"
"267",105402,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR-BR-GO-BR-DF"
"268",106284,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP"
"269",105385,"BR","CULTIVADA","Não endemica/Mata Atlântica","BR-SP"
"270",105329,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP-BR-RJ"
"271",105330,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-GO-BR-DF"
"272",86783,"BR","NATURALIZADA","Não endemica/Amazônia-Não endemica/Caatinga-Não endemica/Cerrado-Não endemica/Mata Atlântica-Não endemica/Pantanal","BR-SP-BR-RJ-BR-MG-BR-SC-BR-PR-BR-PE-BR-BA-BR-AL-BR-MT-BR-MS-BR-GO-BR-DF"
"273",105334,"BR","NATURALIZADA","Não endemica/Mata Atlântica","BR-SP"
