"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie"
"101","Fabaceae","Dalbergia decipularis Rizzini & A.Mattos","Dalbergia decipularis Rizzini & A.Mattos",29594,"Fabaceae","Dalbergia decipularis Rizzini & A.Mattos",29594,NA,"LFB","name ok","","Dalbergia decipularis"
"102","Fabaceae","Dalbergia glaucescens (Mart. ex Benth.) Benth.","Dalbergia glaucescens (Mart. ex Benth.) Benth.",29601,"Fabaceae","Dalbergia glaucescens (Mart. ex Benth.) Benth.",29601,NA,"LFB","name ok","","Dalbergia glaucescens"
"103","Fabaceae","Erythrina speciosa Andrews","Erythrina speciosa Andrews",29677,"Fabaceae","Erythrina speciosa Andrews",29677,"mulungu-do-litoral-PORTUGUES-NA","LFB","name ok","","Erythrina speciosa"
"104","Fabaceae","Exostyles venusta Schott","Exostyles venusta Schott",18577,"Fabaceae","Exostyles venusta Schott",18577,NA,"LFB","name ok","","Exostyles venusta"
"105","Fabaceae","Hymenaea altissima Ducke","Hymenaea altissima Ducke",78708,"Fabaceae","Hymenaea altissima Ducke",78708,"Jatobá-PORTUGUES-Brasil","LFB","name ok","","Hymenaea altissima"
"106","Fabaceae","Hymenaea aurea Y.T.Lee & Langenh.","Hymenaea aurea Y.T.Lee & Langenh.",83196,"Fabaceae","Hymenaea aurea Y.T.Lee & Langenh.",83196,"Jatobá piloso-PORTUGUES-Nordeste/Jatobá verdadeiro-PORTUGUES-Nordeste","LFB","name ok","","Hymenaea aurea"
"107","Fabaceae","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima",582263,"Fabaceae","Hymenaea fariana R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima",582263,NA,"LFB","name ok","","Hymenaea fariana"
"108","Fabaceae","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz",132728,"Fabaceae","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz",132728,NA,"LFB","name ok","","Hymenaea longifolia"
"109","Fabaceae","Hymenolobium alagoanum Ducke","Hymenolobium alagoanum Ducke",79076,"Fabaceae","Hymenolobium alagoanum Ducke",79076,NA,"LFB","name ok","","Hymenolobium alagoanum"
"110","Fabaceae","Inga congesta T.D.Penn.","Inga congesta T.D.Penn.",18647,"Fabaceae","Inga congesta T.D.Penn.",18647,"ingá preta-PORTUGUES-Bahia","LFB","name ok","","Inga congesta"
"111","Fabaceae","Inga schinifolia Benth.","Inga schinifolia Benth.",100938,"Fabaceae","Inga schinifolia Benth.",100938,NA,"LFB","name ok","","Inga schinifolia"
"112","Fabaceae","Leptolobium bijugum (Spreng.) Vogel","Leptolobium bijugum (Spreng.) Vogel",101101,"Fabaceae","Leptolobium bijugum (Spreng.) Vogel",101101,"angico-do-litoral-PORTUGUES-sudeste/macanaíba-do-nativo-PORTUGUES-sudeste","LFB","name ok","","Leptolobium bijugum"
"113","Fabaceae","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo",101102,"Fabaceae","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo",101102,NA,"LFB","name ok","","Leptolobium brachystachyum"
"114","Fabaceae","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",101464,"Fabaceae","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",101464,"Angelim-PORTUGUES-Bahia/Sipipira-PORTUGUES-Bahia/Sucupira-PORTUGUES-Bahia","LFB","name ok","","Luetzelburgia purpurea"
"115","Fabaceae","Machaerium incorruptibile (Vell.) Benth.","Machaerium incorruptibile (Vell.) Benth.",29769,"Fabaceae","Machaerium incorruptibile (Vell.) Benth.",29769,"Jacarandá-preto-PORTUGUES-NA/Jacarandá-rosa-PORTUGUES-NA","LFB","name ok","","Machaerium incorruptibile"
"116","Fabaceae","Machaerium ovalifolium Glaz. ex Rudd","Machaerium ovalifolium Glaz. ex Rudd",29777,"Fabaceae","Machaerium ovalifolium Glaz. ex Rudd",29777,"Bico-de-juriti-PORTUGUES-NA","LFB","name ok","","Machaerium ovalifolium"
"117","Fabaceae","Macrolobium brevense Ducke","Macrolobium brevense Ducke",78723,"Fabaceae","Macrolobium brevense Ducke",78723,NA,"LFB","name ok","","Macrolobium brevense"
"118","Fabaceae","Macrolobium latifolium Vogel","Macrolobium latifolium Vogel",18741,"Fabaceae","Macrolobium latifolium Vogel",18741,NA,"LFB","name ok","","Macrolobium latifolium"
"119","Fabaceae","Macrolobium rigidum R.S.Cowan","Macrolobium rigidum R.S.Cowan",83364,"Fabaceae","Macrolobium rigidum R.S.Cowan",83364,NA,"LFB","name ok","","Macrolobium rigidum"
"120","Fabaceae","Mimosa adenotricha Benth.","Mimosa adenotricha Benth.",31053,"Fabaceae","Mimosa adenotricha Benth.",31053,NA,"LFB","name ok","","Mimosa adenotricha"
"121","Fabaceae","Mimosa dichroa Barneby ex G.P.Lewis","Mimosa dichroa Barneby ex G.P.Lewis",18788,"Fabaceae","Mimosa dichroa Barneby ex G.P.Lewis",18788,NA,"LFB","name ok","","Mimosa dichroa"
"122","Fabaceae","Mimosa laticifera Rizzini & A.Mattos","Mimosa laticifera Rizzini & A.Mattos",78913,"Fabaceae","Mimosa laticifera Rizzini & A.Mattos",78913,"pau-de-espinho-PORTUGUES-NA/quebra-foice-PORTUGUES-NA","LFB","name ok","","Mimosa laticifera"
"123","Fabaceae","Mimosa pteridifolia Benth.","Mimosa pteridifolia Benth.",78926,"Fabaceae","Mimosa pteridifolia Benth.",78926,"Jurema-cor-de-rosa-PORTUGUES-NA/Jurema-PORTUGUES-NA/Malícia-PORTUGUES-NA","LFB","name ok","","Mimosa pteridifolia"
"124","Fabaceae","Mimosa schomburgkii Benth.","Mimosa schomburgkii Benth.",83459,"Fabaceae","Mimosa schomburgkii Benth.",83459,"Angico-bravo-PORTUGUES-NA/Bracatinga-PORTUGUES-NA/Monjoleiro-PORTUGUES-NA/Monjolinho-PORTUGUES-NA","LFB","name ok","","Mimosa schomburgkii"
"125","Fabaceae","Mimosa sericantha Benth.","Mimosa sericantha Benth.",18861,"Fabaceae","Mimosa sericantha Benth.",18861,NA,"LFB","name ok","","Mimosa sericantha"
"126","Fabaceae","Mora paraensis (Ducke) Ducke","Mora paraensis (Ducke) Ducke",83485,"Fabaceae","Mora paraensis (Ducke) Ducke",83485,NA,"LFB","name ok","","Mora paraensis"
"127","Fabaceae","Ormosia minor Vogel","Ormosia minor Vogel",101158,"Fabaceae","Ormosia minor Vogel",101158,NA,"LFB","name ok","","Ormosia minor"
"128","Fabaceae","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima",18917,"Fabaceae","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima",18917,NA,"LFB","name ok","","Parapiptadenia blanchetii"
"129","Fabaceae","Piptadenia macradenia Benth.","Piptadenia macradenia Benth.",31390,"Fabaceae","Piptadenia macradenia Benth.",31390,NA,"LFB","name ok","","Piptadenia macradenia"
"130","Fabaceae","Poecilanthe grandiflora Benth.","Poecilanthe grandiflora Benth.",18981,"Fabaceae","Poecilanthe grandiflora Benth.",18981,NA,"LFB","name ok","","Poecilanthe grandiflora"
"131","Fabaceae","Poecilanthe itapuana G.P.Lewis","Poecilanthe itapuana G.P.Lewis",79139,"Fabaceae","Poecilanthe itapuana G.P.Lewis",79139,NA,"LFB","name ok","","Poecilanthe itapuana"
"132","Fabaceae","Pterodon apparicioi Pedersoli","Pterodon apparicioi Pedersoli",109402,"Fabaceae","Pterodon apparicioi Pedersoli",109402,NA,"LFB","name ok","","Pterodon apparicioi"
"133","Fabaceae","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro",133903,"Fabaceae","Senegalia harleyi Seigler, Ebinger, & P.G. Ribeiro",133903,NA,"LFB","name ok","","Senegalia harleyi"
"134","Fabaceae","Senegalia piauhiensis (Benth.) Seigler & Ebinger","Senegalia piauhiensis (Benth.) Seigler & Ebinger",103285,"Fabaceae","Senegalia piauhiensis (Benth.) Seigler & Ebinger",103285,"jurema-branca-PORTUGUES-CE/jurema-de-caboclo-PORTUGUES-PI","LFB","name ok","","Senegalia piauhiensis"
"135","Fabaceae","Senna reniformis (G.Don) H.S.Irwin & Barneby","Senna reniformis (G.Don) H.S.Irwin & Barneby",28221,"Fabaceae","Senna reniformis (G.Don) H.S.Irwin & Barneby",28221,NA,"LFB","name ok","","Senna reniformis"
"136","Fabaceae","Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima","Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima",130131,"Fabaceae","Staminodianthus rosae (H.C.Lima) D.B.O.S.Cardoso & H.C.Lima",130131,NA,"LFB","name ok","","Staminodianthus rosae"
"137","Fabaceae","Swartzia arumateuana (R. S. Cowan) Torke & Mansano","Swartzia arumateuana (R. S. Cowan) Torke & Mansano",130715,"Fabaceae","Swartzia arumateuana (R. S. Cowan) Torke & Mansano",130715,NA,"LFB","name ok","","Swartzia arumateuana"
"138","Fabaceae","Swartzia corrugata Benth.","Swartzia corrugata Benth.",83770,"Fabaceae","Swartzia corrugata Benth.",83770,"Coração-de-Negro-PORTUGUES-Amazonas","LFB","name ok","","Swartzia corrugata"
"139","Fabaceae","Swartzia longistipitata Ducke","Swartzia longistipitata Ducke",78806,"Fabaceae","Swartzia longistipitata Ducke",78806,NA,"LFB","name ok","","Swartzia longistipitata"
"140","Fabaceae","Swartzia oblata R.S.Cowan","Swartzia oblata R.S.Cowan",101174,"Fabaceae","Swartzia oblata R.S.Cowan",101174,NA,"LFB","name ok","","Swartzia oblata"
"141","Fabaceae","Swartzia parvipetala (R.S.Cowan) Mansano","Swartzia parvipetala (R.S.Cowan) Mansano",102308,"Fabaceae","Swartzia parvipetala (R.S.Cowan) Mansano",102308,NA,"LFB","name ok","","Swartzia parvipetala"
"142","Fabaceae","Swartzia pilulifera Benth.","Swartzia pilulifera Benth.",29896,"Fabaceae","Swartzia pilulifera Benth.",29896,NA,"LFB","name ok","","Swartzia pilulifera"
"143","Fabaceae","Swartzia polita (R.S.Cowan) Torke","Swartzia polita (R.S.Cowan) Torke",101175,"Fabaceae","Swartzia polita (R.S.Cowan) Torke",101175,NA,"LFB","name ok","","Swartzia polita"
"144","Fabaceae","Swartzia psilonema Harms","Swartzia psilonema Harms",102482,"Fabaceae","Swartzia psilonema Harms",102482,NA,"LFB","name ok","","Swartzia psilonema"
"145","Fabaceae","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima",106816,"Fabaceae","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima",106816,NA,"LFB","name ok","","Tachigali goeldiana"
"146","Fabaceae","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho",106844,"Fabaceae","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho",106844,NA,"LFB","name ok","","Tachigali rubiginosa"
"147","Gentianaceae","Macrocarpaea glaziovii Gilg","Macrocarpaea glaziovii Gilg",7771,"Gentianaceae","Macrocarpaea glaziovii Gilg",7771,NA,"LFB","name ok","","Macrocarpaea glaziovii"
"148","Humiriaceae","Humiriastrum mussungense Cuatrec.","Humiriastrum mussungense Cuatrec.",7979,"Humiriaceae","Humiriastrum mussungense Cuatrec.",7979,NA,"LFB","name ok","","Humiriastrum mussungense"
"149","Humiriaceae","Vantanea bahiaensis Cuatrec.","Vantanea bahiaensis Cuatrec.",7986,"Humiriaceae","Vantanea bahiaensis Cuatrec.",7986,NA,"LFB","name ok","","Vantanea bahiaensis"
"150","Hypericaceae","Vismia atlantica L. Marinho & M.V. Martins","Vismia atlantica L. Marinho & M.V. Martins",583085,"Hypericaceae","Vismia atlantica L. Marinho & M.V. Martins",583085,NA,"LFB","name ok","","Vismia atlantica"
"151","Hypericaceae","Vismia cauliflora A.C.Sm.","Vismia cauliflora A.C.Sm.",84116,"Hypericaceae","Vismia cauliflora A.C.Sm.",84116,NA,"LFB","name ok","","Vismia cauliflora"
"152","Hypericaceae","Vismia magnoliifolia Cham. & Schltdl.","Vismia magnoliifolia Cham. & Schltdl.",8014,"Hypericaceae","Vismia magnoliifolia Cham. & Schltdl.",8014,NA,"LFB","name ok","","Vismia magnoliifolia"
"153","Hypericaceae","Vismia micrantha A.St.-Hil.","Vismia micrantha A.St.-Hil.",8016,"Hypericaceae","Vismia micrantha A.St.-Hil.",8016,NA,"LFB","name ok","","Vismia micrantha"
"154","Lacistemataceae","Lacistema serrulatum Mart.","Lacistema serrulatum Mart.",8101,"Lacistemataceae","Lacistema serrulatum Mart.",8101,NA,"LFB","name ok","","Lacistema serrulatum"
"155","Lamiaceae","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore",132588,"Lamiaceae","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore",132588,NA,"LFB","name ok","","Cyanocephalus lippioides"
"156","Lamiaceae","Vitex mexiae Moldenke","Vitex mexiae Moldenke",8369,"Lamiaceae","Vitex mexiae Moldenke",8369,NA,"LFB","name ok","","Vitex mexiae"
"157","Lamiaceae","Vitex spongiocarpa Ducke","Vitex spongiocarpa Ducke",59859,"Lamiaceae","Vitex spongiocarpa Ducke",59859,NA,"LFB","name ok","","Vitex spongiocarpa"
"158","Lauraceae","Aniba viridis Mez","Aniba viridis Mez",123035,"Lauraceae","Aniba viridis Mez",123035,"canela de mono-PORTUGUES-sudeste","LFB","name ok","","Aniba viridis"
"159","Lauraceae","Beilschmiedia emarginata (Meisn.) Kosterm.","Beilschmiedia emarginata (Meisn.) Kosterm.",8387,"Lauraceae","Beilschmiedia emarginata (Meisn.) Kosterm.",8387,NA,"LFB","name ok","","Beilschmiedia emarginata"
"160","Lauraceae","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.",8392,"Lauraceae","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.",8392,NA,"LFB","name ok","","Beilschmiedia taubertiana"
"161","Lauraceae","Cinnamomum glaziovii (Mez) Kosterm.","Cinnamomum glaziovii (Mez) Kosterm.",8396,"Lauraceae","Cinnamomum glaziovii (Mez) Kosterm.",8396,NA,"LFB","name ok","","Cinnamomum glaziovii"
"162","Lauraceae","Cryptocarya micrantha Meisn.","Cryptocarya micrantha Meisn.",8407,"Lauraceae","Cryptocarya micrantha Meisn.",8407,"canela-batalha-PORTUGUES-sudeste/goiaba-de-mico-PORTUGUES-sudeste","LFB","name ok","","Cryptocarya micrantha"
"163","Lauraceae","Cryptocarya riedeliana P.L.R.Moraes","Cryptocarya riedeliana P.L.R.Moraes",8409,"Lauraceae","Cryptocarya riedeliana P.L.R.Moraes",8409,"canela-branca-PORTUGUES-sudeste/canela-murici-PORTUGUES-sudeste","LFB","name ok","","Cryptocarya riedeliana"
"164","Lauraceae","Endlicheria glomerata Mez","Endlicheria glomerata Mez",8416,"Lauraceae","Endlicheria glomerata Mez",8416,"canelão-PORTUGUES-sudeste","LFB","name ok","","Endlicheria glomerata"
"165","Lauraceae","Nectandra leucantha Nees","Nectandra leucantha Nees",8430,"Lauraceae","Nectandra leucantha Nees",8430,"canela branca-PORTUGUES-Sudeste","LFB","name ok","","Nectandra leucantha"
"166","Lauraceae","Ocotea arenicola L.C.S. Assis e Mello-Silva","Ocotea arenicola L.C.S. Assis e Mello-Silva",123015,"Lauraceae","Ocotea arenicola L.C.S. Assis e Mello-Silva",123015,NA,"LFB","name ok","","Ocotea arenicola"
"167","Lauraceae","Ocotea argentea Mez","Ocotea argentea Mez",8443,"Lauraceae","Ocotea argentea Mez",8443,NA,"LFB","name ok","","Ocotea argentea"
"168","Lauraceae","Ocotea insignis Mez","Ocotea insignis Mez",8501,"Lauraceae","Ocotea insignis Mez",8501,NA,"LFB","name ok","","Ocotea insignis"
"169","Lauraceae","Ocotea kostermanniana Vattimo-Gil","Ocotea kostermanniana Vattimo-Gil",8464,"Lauraceae","Ocotea kostermanniana Vattimo-Gil",8464,NA,"LFB","name ok","","Ocotea kostermanniana"
"170","Lauraceae","Ocotea microbotrys (Meisn.) Mez","Ocotea microbotrys (Meisn.) Mez",8503,"Lauraceae","Ocotea microbotrys (Meisn.) Mez",8503,NA,"LFB","name ok","","Ocotea microbotrys"
"171","Lauraceae","Ocotea montana (Meisn.) Mez","Ocotea montana (Meisn.) Mez",8472,"Lauraceae","Ocotea montana (Meisn.) Mez",8472,NA,"LFB","name ok","","Ocotea montana"
"172","Lauraceae","Ocotea oppositifolia S.Yasuda","Ocotea oppositifolia S.Yasuda",25619,"Lauraceae","Ocotea oppositifolia S.Yasuda",25619,NA,"LFB","name ok","","Ocotea oppositifolia"
"173","Lauraceae","Ocotea pluridomatiata A.Quinet","Ocotea pluridomatiata A.Quinet",8506,"Lauraceae","Ocotea pluridomatiata A.Quinet",8506,NA,"LFB","name ok","","Ocotea pluridomatiata"
"174","Lauraceae","Ocotea pulchra Vattimo-Gil","Ocotea pulchra Vattimo-Gil",8481,"Lauraceae","Ocotea pulchra Vattimo-Gil",8481,NA,"LFB","name ok","","Ocotea pulchra"
"175","Lauraceae","Ocotea teleiandra (Meisn.) Mez","Ocotea teleiandra (Meisn.) Mez",8510,"Lauraceae","Ocotea teleiandra (Meisn.) Mez",8510,"canela-jacuá-PORTUGUES-Sudeste/canela-pimenta-PORTUGUES-Sudeste","LFB","name ok","","Ocotea teleiandra"
"176","Lauraceae","Ocotea tenuiflora (Nees) Mez","Ocotea tenuiflora (Nees) Mez",8488,"Lauraceae","Ocotea tenuiflora (Nees) Mez",8488,NA,"LFB","name ok","","Ocotea tenuiflora"
"177","Lauraceae","Ocotea urbaniana Mez","Ocotea urbaniana Mez",8490,"Lauraceae","Ocotea urbaniana Mez",8490,NA,"LFB","name ok","","Ocotea urbaniana"
"178","Lauraceae","Ocotea venulosa (Nees) Baitello","Ocotea venulosa (Nees) Baitello",122881,"Lauraceae","Ocotea venulosa (Nees) Baitello",122881,NA,"LFB","name ok","","Ocotea venulosa"
"179","Lauraceae","Ocotea villosa Kosterm.","Ocotea villosa Kosterm.",8494,"Lauraceae","Ocotea villosa Kosterm.",8494,NA,"LFB","name ok","","Ocotea villosa"
"180","Lauraceae","Persea alba Nees & Mart.","Persea alba Nees & Mart.",8512,"Lauraceae","Persea alba Nees & Mart.",8512,NA,"LFB","name ok","","Persea alba"
"181","Lauraceae","Persea aurata Miq.","Persea aurata Miq.",8513,"Lauraceae","Persea aurata Miq.",8513,NA,"LFB","name ok","","Persea aurata"
"182","Lauraceae","Persea caesia Meisn.","Persea caesia Meisn.",8514,"Lauraceae","Persea caesia Meisn.",8514,NA,"LFB","name ok","","Persea caesia"
"183","Malpighiaceae","Byrsonima myricifolia Griseb.","Byrsonima myricifolia Griseb.",8840,"Malpighiaceae","Byrsonima myricifolia Griseb.",8840,NA,"LFB","name ok","","Byrsonima myricifolia"
"184","Malpighiaceae","Byrsonima nitidifolia A.Juss.","Byrsonima nitidifolia A.Juss.",25707,"Malpighiaceae","Byrsonima nitidifolia A.Juss.",25707,NA,"LFB","name ok","","Byrsonima nitidifolia"
"185","Malpighiaceae","Byrsonima perseifolia Griseb.","Byrsonima perseifolia Griseb.",8844,"Malpighiaceae","Byrsonima perseifolia Griseb.",8844,NA,"LFB","name ok","","Byrsonima perseifolia"
"186","Malpighiaceae","Heteropterys sincorensis W.R. Anderson","Heteropterys sincorensis W.R. Anderson",19459,"Malpighiaceae","Heteropterys sincorensis W.R. Anderson",19459,NA,"LFB","name ok","","Heteropterys sincorensis"
"187","Malpighiaceae","Ptilochaeta glabra Nied.","Ptilochaeta glabra Nied.",30504,"Malpighiaceae","Ptilochaeta glabra Nied.",30504,NA,"LFB","name ok","","Ptilochaeta glabra"
"188","Malvaceae","Ceiba crispiflora (Kunth) Ravenna","Ceiba crispiflora (Kunth) Ravenna",9033,"Malvaceae","Ceiba crispiflora (Kunth) Ravenna",9033,NA,"LFB","name ok","","Ceiba crispiflora"
"189","Malvaceae","Ceiba glaziovii (Kuntze) K.Schum.","Ceiba glaziovii (Kuntze) K.Schum.",9035,"Malvaceae","Ceiba glaziovii (Kuntze) K.Schum.",9035,NA,"LFB","name ok","","Ceiba glaziovii"
"190","Malvaceae","Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns","Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns",9053,"Malvaceae","Eriotheca pentaphylla (Vell. & K.Schum.) A.Robyns",9053,NA,"LFB","name ok","","Eriotheca pentaphylla"
"191","Malvaceae","Helicteres macropetala A.St.-Hil.","Helicteres macropetala A.St.-Hil.",9071,"Malvaceae","Helicteres macropetala A.St.-Hil.",9071,NA,"LFB","name ok","","Helicteres macropetala"
"192","Malvaceae","Mollia burchellii Sprague","Mollia burchellii Sprague",32934,"Malvaceae","Mollia burchellii Sprague",32934,NA,"LFB","name ok","","Mollia burchellii"
"193","Malvaceae","Pavonia calyculosa A.St.-Hil. & Naudin","Pavonia calyculosa A.St.-Hil. & Naudin",9123,"Malvaceae","Pavonia calyculosa A.St.-Hil. & Naudin",9123,NA,"LFB","name ok","","Pavonia calyculosa"
"194","Malvaceae","Pavonia makoyana E.Morren","Pavonia makoyana E.Morren",9155,"Malvaceae","Pavonia makoyana E.Morren",9155,NA,"LFB","name ok","","Pavonia makoyana"
"195","Malvaceae","Pseudobombax petropolitanum A.Robyns","Pseudobombax petropolitanum A.Robyns",603542,"Malvaceae","Pseudobombax petropolitanum A.Robyns",603542,NA,"LFB","name ok","","Pseudobombax petropolitanum"
"196","Malvaceae","Pterygota brasiliensis Allemão","Pterygota brasiliensis Allemão",9198,"Malvaceae","Pterygota brasiliensis Allemão",9198,NA,"LFB","name ok","","Pterygota brasiliensis"
"197","Malvaceae","Quararibea ochrocalyx (K.Schum.) Vischer","Quararibea ochrocalyx (K.Schum.) Vischer",23579,"Malvaceae","Quararibea ochrocalyx (K.Schum.) Vischer",23579,NA,"LFB","name ok","","Quararibea ochrocalyx"
"198","Melastomataceae","Behuria insignis Cham.","Behuria insignis Cham.",9405,"Melastomataceae","Behuria insignis Cham.",9405,NA,"LFB","name ok","","Behuria insignis"
"199","Melastomataceae","Huberia consimilis Baumgratz","Huberia consimilis Baumgratz",9481,"Melastomataceae","Huberia consimilis Baumgratz",9481,"mangue-do-mato-PORTUGUES-Sudeste","LFB","name ok","","Huberia consimilis"
"200","Melastomataceae","Huberia glazioviana Cogn.","Huberia glazioviana Cogn.",9483,"Melastomataceae","Huberia glazioviana Cogn.",9483,NA,"LFB","name ok","","Huberia glazioviana"
"201","Melastomataceae","Lavoisiera nervulosa Naudin","Lavoisiera nervulosa Naudin",19630,"Melastomataceae","Lavoisiera nervulosa Naudin",19630,NA,"LFB","name ok","","Lavoisiera nervulosa"
"202","Melastomataceae","Leandra cogniauxii (D'El Rei Souza) Reginato","Leandra cogniauxii (D'El Rei Souza) Reginato",605478,"Melastomataceae","Leandra cogniauxii (D'El Rei Souza) Reginato",605478,NA,"LFB",NA,"","Leandra cogniauxii"
"203","Melastomataceae","Leandra fallacissima Markgr.","Leandra fallacissima Markgr.",9537,"Melastomataceae","Leandra fallacissima Markgr.",9537,NA,"LFB","name ok","","Leandra fallacissima"
"204","Melastomataceae","Leandra lancifolia Cogn.","Leandra lancifolia Cogn.",9559,"Melastomataceae","Leandra lancifolia Cogn.",9559,NA,"LFB","name ok","","Leandra lancifolia"
"205","Melastomataceae","Leandra pennipilis (Triana) Cogn.","Leandra pennipilis (Triana) Cogn.",9593,"Melastomataceae","Leandra pennipilis (Triana) Cogn.",9593,NA,"LFB","name ok","","Leandra pennipilis"
"206","Melastomataceae","Leandra pilonensis Wurdack","Leandra pilonensis Wurdack",9594,"Melastomataceae","Leandra pilonensis Wurdack",9594,NA,"LFB","name ok","","Leandra pilonensis"
"207","Melastomataceae","Leandra umbellata DC.","Leandra umbellata DC.",9635,"Melastomataceae","Leandra umbellata DC.",9635,NA,"LFB","name ok","","Leandra umbellata"
"208","Melastomataceae","Macairea theresiae Cogn.","Macairea theresiae Cogn.",85320,"Melastomataceae","Macairea theresiae Cogn.",85320,NA,"LFB","name ok","","Macairea theresiae"
"209","Melastomataceae","Meriania calophylla (Cham.) Triana","Meriania calophylla (Cham.) Triana",9650,"Melastomataceae","Meriania calophylla (Cham.) Triana",9650,NA,"LFB","name ok","","Meriania calophylla"
"210","Melastomataceae","Meriania claussenii (Naudin) Triana","Meriania claussenii (Naudin) Triana",9652,"Melastomataceae","Meriania claussenii (Naudin) Triana",9652,NA,"LFB","name ok","","Meriania claussenii"
"211","Melastomataceae","Meriania paniculata (DC.) Triana","Meriania paniculata (DC.) Triana",9658,"Melastomataceae","Meriania paniculata (DC.) Triana",9658,NA,"LFB","name ok","","Meriania paniculata"
"212","Melastomataceae","Merianthera sipolisii (Glaz. & Cogn.) Wurdack","Merianthera sipolisii (Glaz. & Cogn.) Wurdack",102331,"Melastomataceae","Merianthera sipolisii (Glaz. & Cogn.) Wurdack",102331,NA,"LFB","name ok","","Merianthera sipolisii"
"213","Melastomataceae","Miconia brunnea DC.","Miconia brunnea DC.",9676,"Melastomataceae","Miconia brunnea DC.",9676,NA,"LFB","name ok","","Miconia brunnea"
"214","Melastomataceae","Miconia formosa Cogn.","Miconia formosa Cogn.",9706,"Melastomataceae","Miconia formosa Cogn.",9706,NA,"LFB","name ok","","Miconia formosa"
"215","Melastomataceae","Miconia goldenbergiana Caddah","Miconia goldenbergiana Caddah",604866,"Melastomataceae","Miconia goldenbergiana Caddah",604866,NA,"LFB","name ok","","Miconia goldenbergiana"
"216","Melastomataceae","Miconia irwinii Wurdack","Miconia irwinii Wurdack",19663,"Melastomataceae","Miconia irwinii Wurdack",19663,NA,"LFB","name ok","","Miconia irwinii"
"217","Melastomataceae","Miconia nordestina R.Goldenb. & E.C.O.Chagas","Miconia nordestina R.Goldenb. & E.C.O.Chagas",132538,"Melastomataceae","Miconia nordestina R.Goldenb. & E.C.O.Chagas",132538,NA,"LFB","name ok","","Miconia nordestina"
"218","Melastomataceae","Miconia tentaculifera Naudin","Miconia tentaculifera Naudin",9772,"Melastomataceae","Miconia tentaculifera Naudin",9772,NA,"LFB","name ok","","Miconia tentaculifera"
"219","Melastomataceae","Miconia urophylla DC.","Miconia urophylla DC.",9777,"Melastomataceae","Miconia urophylla DC.",9777,NA,"LFB","name ok","","Miconia urophylla"
"220","Melastomataceae","Mouriri arborea Gardner","Mouriri arborea Gardner",9815,"Melastomataceae","Mouriri arborea Gardner",9815,NA,"LFB","name ok","","Mouriri arborea"
"221","Melastomataceae","Mouriri cearensis Huber","Mouriri cearensis Huber",19704,"Melastomataceae","Mouriri cearensis Huber",19704,NA,"LFB","name ok","","Mouriri cearensis"
"222","Melastomataceae","Mouriri chamissoana Cogn.","Mouriri chamissoana Cogn.",9817,"Melastomataceae","Mouriri chamissoana Cogn.",9817,NA,"LFB","name ok","","Mouriri chamissoana"
