"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nome_especie"
"26","Asteraceae","Lychnophora staavioides Mart.","Lychnophora staavioides Mart.",27256,"Asteraceae","Lychnophora staavioides Mart.",27256,NA,"LFB","name ok","","Lychnophora staavioides"
"27","Asteraceae","Piptocarpha axillaris (Less.) Baker","Piptocarpha axillaris (Less.) Baker",5474,"Asteraceae","Piptocarpha axillaris (Less.) Baker",5474,"Canela-podre, Maria-mole-PORTUGUES-Santa Catarina/Cambará-do-campo, Vassourão-PORTUGUES-São Paulo","LFB","name ok","","Piptocarpha axillaris"
"28","Asteraceae","Piptocarpha densifolia Dusén ex G. Lom. Sm.","Piptocarpha densifolia Dusén ex G. Lom. Sm.",5476,"Asteraceae","Piptocarpha densifolia Dusén ex G. Lom. Sm.",5476,"Vassourãozinho-PORTUGUES-Santa Catarina/Cambará-branco-PORTUGUES-Paraná","LFB","name ok","","Piptocarpha densifolia"
"29","Asteraceae","Piptocarpha organensis Cabrera","Piptocarpha organensis Cabrera",5483,"Asteraceae","Piptocarpha organensis Cabrera",5483,NA,"LFB","name ok","","Piptocarpha organensis"
"30","Boraginaceae","Cordia aberrans I.M.Johnst.","Cordia aberrans I.M.Johnst.",16503,"Boraginaceae","Cordia aberrans I.M.Johnst.",16503,NA,"LFB","name ok","","Cordia aberrans"
"31","Boraginaceae","Cordia anabaptista Cham.","Cordia anabaptista Cham.",16504,"Boraginaceae","Cordia anabaptista Cham.",16504,NA,"LFB","name ok","","Cordia anabaptista"
"32","Burseraceae","Protium widgrenii Engl.","Protium widgrenii Engl.",6602,"Burseraceae","Protium widgrenii Engl.",6602,NA,"LFB","name ok","","Protium widgrenii"
"33","Canellaceae","Cinnamodendron axillare Endl. ex Walp.","Cinnamodendron axillare Endl. ex Walp.",6651,"Canellaceae","Cinnamodendron axillare Endl. ex Walp.",6651,"bom-para-tudo-PORTUGUES-Sudeste/canela-branca-PORTUGUES-Sudeste, Sul/casca-de-cutia-PORTUGUES-Sudeste","LFB","name ok","","Cinnamodendron axillare"
"34","Celastraceae","Monteverdia ardisiifolia (Reissek) Biral","Monteverdia ardisiifolia (Reissek) Biral",604477,"Celastraceae","Monteverdia ardisiifolia (Reissek) Biral",604477,NA,"LFB","name ok","","Monteverdia ardisiifolia"
"35","Celastraceae","Monteverdia cestrifolia (Reissek) Biral","Monteverdia cestrifolia (Reissek) Biral",604520,"Celastraceae","Monteverdia cestrifolia (Reissek) Biral",604520,NA,"LFB","name ok","","Monteverdia cestrifolia"
"36","Celastraceae","Monteverdia glaucescens (Reissek) Biral","Monteverdia glaucescens (Reissek) Biral",604604,"Celastraceae","Monteverdia glaucescens (Reissek) Biral",604604,NA,"LFB","name ok","","Monteverdia glaucescens"
"37","Celastraceae","Monteverdia littoralis (R.M. Carvalho-Okano) Biral","Monteverdia littoralis (R.M. Carvalho-Okano) Biral",605287,"Celastraceae","Monteverdia littoralis (R.M. Carvalho-Okano) Biral",605287,NA,"LFB","name ok","","Monteverdia littoralis"
"38","Celastraceae","Monteverdia macrophylla (Mart.) Biral","Monteverdia macrophylla (Mart.) Biral",605270,"Celastraceae","Monteverdia macrophylla (Mart.) Biral",605270,NA,"LFB","name ok","","Monteverdia macrophylla"
"39","Celastraceae","Monteverdia rigida (Mart.) Biral","Monteverdia rigida (Mart.) Biral",604679,"Celastraceae","Monteverdia rigida (Mart.) Biral",604679,"bom-nome-PORTUGUES-Nordeste/cabelo-de-nego-PORTUGUES-RN/pau-de-colher-PORTUGUES-Nordeste","LFB","name ok","","Monteverdia rigida"
"40","Chrysobalanaceae","Couepia venosa Prance","Couepia venosa Prance",34664,"Chrysobalanaceae","Couepia venosa Prance",34664,"milho cozido-PORTUGUES-NA","LFB","name ok","","Couepia venosa"
"41","Chrysobalanaceae","Licania nitida Hook.f.","Licania nitida Hook.f.",16846,"Chrysobalanaceae","Licania nitida Hook.f.",16846,NA,"LFB","name ok","","Licania nitida"
"42","Clusiaceae","Clusia dardanoi G.Mariz & Maguire","Clusia dardanoi G.Mariz & Maguire",6833,"Clusiaceae","Clusia dardanoi G.Mariz & Maguire",6833,NA,"LFB","name ok","","Clusia dardanoi"
"43","Combretaceae","Terminalia eichleriana Alwan & Stace","Terminalia eichleriana Alwan & Stace",16897,"Combretaceae","Terminalia eichleriana Alwan & Stace",16897,"camaçari (PI), chapado (PI), capitão (MG)-PORTUGUES-PI, MG/pau-de-chapada, casquinha-PORTUGUES-MG","LFB","name ok","","Terminalia eichleriana"
"44","Combretaceae","Terminalia mameluco Pickel","Terminalia mameluco Pickel",6920,"Combretaceae","Terminalia mameluco Pickel",6920,"mameluco-PORTUGUES-Pernambuco (Nordeste)/pelada-PORTUGUES-Espírirto Santo (Sudeste), Minas Gerais (Sudeste)","LFB","name ok","","Terminalia mameluco"
"45","Combretaceae","Terminalia phaeocarpa Eichler","Terminalia phaeocarpa Eichler",28350,"Combretaceae","Terminalia phaeocarpa Eichler",28350,"capitão, mirindiba, capitão-da-mata-PORTUGUES-DF, MG","LFB","name ok","","Terminalia phaeocarpa"
"46","Connaraceae","Connarus detersus Planch.","Connarus detersus Planch.",6950,"Connaraceae","Connarus detersus Planch.",6950,NA,"LFB","name ok","","Connarus detersus"
"47","Connaraceae","Connarus nodosus Baker","Connarus nodosus Baker",6952,"Connaraceae","Connarus nodosus Baker",6952,"mata cachorro-PORTUGUES-Rio de Janeiro/mauba do mato-PORTUGUES-Rio de Janeiro","LFB","name ok","","Connarus nodosus"
"48","Dichapetalaceae","Stephanopodium blanchetianum Baill.","Stephanopodium blanchetianum Baill.",7327,"Dichapetalaceae","Stephanopodium blanchetianum Baill.",7327,NA,"LFB","name ok","","Stephanopodium blanchetianum"
"49","Dichapetalaceae","Tapura lanceolata (Ducke) Rizzini","Tapura lanceolata (Ducke) Rizzini",82237,"Dichapetalaceae","Tapura lanceolata (Ducke) Rizzini",82237,NA,"LFB","name ok","","Tapura lanceolata"
"50","Ebenaceae","Diospyros akaraiensis A.C.Sm.","Diospyros akaraiensis A.C.Sm.",82303,"Ebenaceae","Diospyros akaraiensis A.C.Sm.",82303,NA,"LFB","name ok","","Diospyros akaraiensis"
"51","Ebenaceae","Diospyros brasiliensis Mart. ex Miq.","Diospyros brasiliensis Mart. ex Miq.",7432,"Ebenaceae","Diospyros brasiliensis Mart. ex Miq.",7432,NA,"LFB","name ok","","Diospyros brasiliensis"
"52","Ebenaceae","Diospyros bullata A.C.Sm.","Diospyros bullata A.C.Sm.",82305,"Ebenaceae","Diospyros bullata A.C.Sm.",82305,"Grão de galo-PORTUGUES-Amazonas/Ucuhuba-PORTUGUES-Amazonas","LFB","name ok","","Diospyros bullata"
"53","Ebenaceae","Diospyros coccolobifolia Mart. ex Miq.","Diospyros coccolobifolia Mart. ex Miq.",17311,"Ebenaceae","Diospyros coccolobifolia Mart. ex Miq.",17311,NA,"LFB","name ok","","Diospyros coccolobifolia"
"54","Ebenaceae","Diospyros santaremnensis Sandwith","Diospyros santaremnensis Sandwith",82324,"Ebenaceae","Diospyros santaremnensis Sandwith",82324,NA,"LFB","name ok","","Diospyros santaremnensis"
"55","Ericaceae","Agarista glaberrima (Sleumer) Judd","Agarista glaberrima (Sleumer) Judd",25444,"Ericaceae","Agarista glaberrima (Sleumer) Judd",25444,NA,"LFB","name ok","","Agarista glaberrima"
"56","Ericaceae","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.",7467,"Ericaceae","Agarista revoluta (Spreng.) J.D. Hook. ex Nied.",7467,NA,"LFB","name ok","","Agarista revoluta"
"57","Ericaceae","Gaylussacia salicifolia Sleumer","Gaylussacia salicifolia Sleumer",7503,"Ericaceae","Gaylussacia salicifolia Sleumer",7503,NA,"LFB","name ok","","Gaylussacia salicifolia"
"58","Erythroxylaceae","Erythroxylum affine A.St.-Hil.","Erythroxylum affine A.St.-Hil.",7681,"Erythroxylaceae","Erythroxylum affine A.St.-Hil.",7681,"batinga-roxa-PORTUGUES-Nordeste","LFB","name ok","","Erythroxylum affine"
"59","Erythroxylaceae","Erythroxylum andrei Plowman","Erythroxylum andrei Plowman",7684,"Erythroxylaceae","Erythroxylum andrei Plowman",7684,NA,"LFB","name ok","","Erythroxylum andrei"
"60","Erythroxylaceae","Erythroxylum columbinum Mart.","Erythroxylum columbinum Mart.",7691,"Erythroxylaceae","Erythroxylum columbinum Mart.",7691,"fruta-de-pombo-PORTUGUES-Bahia/fruta-de-pombinha-PORTUGUES-Bahia","LFB","name ok","","Erythroxylum columbinum"
"61","Erythroxylaceae","Erythroxylum frangulifolium A.St.-Hil.","Erythroxylum frangulifolium A.St.-Hil.",7701,"Erythroxylaceae","Erythroxylum frangulifolium A.St.-Hil.",7701,NA,"LFB","name ok","","Erythroxylum frangulifolium"
"62","Erythroxylaceae","Erythroxylum grandifolium Peyr.","Erythroxylum grandifolium Peyr.",17421,"Erythroxylaceae","Erythroxylum grandifolium Peyr.",17421,NA,"LFB","name ok","","Erythroxylum grandifolium"
"63","Erythroxylaceae","Erythroxylum hamigerum O.E.Schulz","Erythroxylum hamigerum O.E.Schulz",7705,"Erythroxylaceae","Erythroxylum hamigerum O.E.Schulz",7705,NA,"LFB","name ok","","Erythroxylum hamigerum"
"64","Erythroxylaceae","Erythroxylum macrocalyx Mart.","Erythroxylum macrocalyx Mart.",7709,"Erythroxylaceae","Erythroxylum macrocalyx Mart.",7709,NA,"LFB","name ok","","Erythroxylum macrocalyx"
"65","Erythroxylaceae","Erythroxylum nobile O.E.Schulz","Erythroxylum nobile O.E.Schulz",7719,"Erythroxylaceae","Erythroxylum nobile O.E.Schulz",7719,"araticuntiaia-PORTUGUES-Sergipe","LFB","name ok","","Erythroxylum nobile"
"66","Erythroxylaceae","Erythroxylum ochranthum Mart.","Erythroxylum ochranthum Mart.",7721,"Erythroxylaceae","Erythroxylum ochranthum Mart.",7721,NA,"LFB","name ok","","Erythroxylum ochranthum"
"67","Erythroxylaceae","Erythroxylum polygonoides Mart.","Erythroxylum polygonoides Mart.",17428,"Erythroxylaceae","Erythroxylum polygonoides Mart.",17428,NA,"LFB","name ok","","Erythroxylum polygonoides"
"68","Erythroxylaceae","Erythroxylum splendidum Plowman","Erythroxylum splendidum Plowman",7731,"Erythroxylaceae","Erythroxylum splendidum Plowman",7731,NA,"LFB","name ok","","Erythroxylum splendidum"
"69","Euphorbiaceae","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales",603401,"Euphorbiaceae","Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales",603401,"Branquilho-PORTUGUES-Santa Catarina","LFB","name ok","","Actinostemon roselii"
"70","Euphorbiaceae","Algernonia brasiliensis Baill.","Algernonia brasiliensis Baill.",35658,"Euphorbiaceae","Algernonia brasiliensis Baill.",35658,NA,"LFB","name ok","","Algernonia brasiliensis"
"71","Euphorbiaceae","Algernonia riedelii (Müll.Arg.) G.L.Webster","Algernonia riedelii (Müll.Arg.) G.L.Webster",35667,"Euphorbiaceae","Algernonia riedelii (Müll.Arg.) G.L.Webster",35667,NA,"LFB","name ok","","Algernonia riedelii"
"72","Euphorbiaceae","Croton alchorneicarpus Croizat","Croton alchorneicarpus Croizat",35760,"Euphorbiaceae","Croton alchorneicarpus Croizat",35760,NA,"LFB","name ok","","Croton alchorneicarpus"
"73","Euphorbiaceae","Croton hemiargyreus Müll.Arg.","Croton hemiargyreus Müll.Arg.",17518,"Euphorbiaceae","Croton hemiargyreus Müll.Arg.",17518,NA,"LFB","name ok","","Croton hemiargyreus"
