"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"451","Dicymbe arenicola W.A.Rodrigues","Dicymbe arenicola W.A.Rodrigues","Dicymbe arenicola","3908687","3908687","SPECIES","ACCEPTED"
"452","Dimorphandra parviflora Spruce ex Benth.","Dimorphandra parviflora Spruce ex Benth.","Dimorphandra parviflora","2974283","2974283","SPECIES","ACCEPTED"
"453","Eperua praesagata R.S.Cowan","Eperua praesagata R.S.Cowan","Eperua praesagata","2943535","2943535","SPECIES","ACCEPTED"
"454","Erythrostemon calycina (Benth.) L.P.Queiroz","Erythrostemon calycina (Benth.) L.P.Queiroz","Caesalpinia calycina","7687463","2958491","SPECIES","SYNONYM"
"455","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","Hymenaea cangaceira","9791037","9791037","SPECIES","ACCEPTED"
"456","Leptolobium multijugum Sch.Rodr. & A.M.G.Azevedo","Leptolobium multijugum Sch.Rodr. & A.M.G.Azevedo","Leptolobium multijugum","8223997","8223997","SPECIES","ACCEPTED"
"457","Lonchocarpus praecox Mart. ex Benth.","Lonchocarpus praecox Mart. ex Benth.","Lonchocarpus praecox","2969155","2969155","SPECIES","ACCEPTED"
"458","Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia amazonica","7352929","7352929","SPECIES","ACCEPTED"
"459","Luetzelburgia neurocarpa D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia neurocarpa D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Luetzelburgia neurocarpa","3974038","3974038","SPECIES","ACCEPTED"
"460","Machaerium caratinganum Kuhlm. & Hoehne","Machaerium caratinganum Kuhlm. & Hoehne","Machaerium caratinganum","5354912","5354912","SPECIES","ACCEPTED"
"461","Macrolobium conjunctum R.S.Cowan","Macrolobium conjunctum R.S.Cowan","Macrolobium conjunctum","2948847","2948847","SPECIES","ACCEPTED"
"462","Macrolobium duckeanum R.S.Cowan","Macrolobium duckeanum R.S.Cowan","Macrolobium duckeanum","2948899","2948899","SPECIES","ACCEPTED"
"463","Macrolobium urupaense Hoehne","Macrolobium urupaense Hoehne","Macrolobium urupaense","2948757","2948757","SPECIES","ACCEPTED"
"464","Mimosa bispiculata Barneby","Mimosa bispiculata Barneby","Mimosa bispiculata","3796343","3796343","SPECIES","ACCEPTED"
"465","Mimosa capito Barneby","Mimosa capito Barneby","Mimosa capito","3796185","3796185","SPECIES","ACCEPTED"
"466","Mimosa dominarum Barneby","Mimosa dominarum Barneby","Mimosa dominarum","3795740","3795740","SPECIES","ACCEPTED"
"467","Mimosa gardneri Benth.","Mimosa gardneri Benth.","Mimosa gardneri","2970118","2970118","SPECIES","ACCEPTED"
"468","Mimosa hebecarpa Benth.","Mimosa hebecarpa Benth.","Mimosa hebecarpa","2969643","2969643","SPECIES","ACCEPTED"
"469","Mimosa neonitens (Benth.) L.M. Borges","Mimosa neonitens (Benth.) L.M.Borges","Mimosa neonitens","9469718","9469718","SPECIES","ACCEPTED"
"470","Mimosa rheiptera Barneby","Mimosa rheiptera Barneby","Mimosa rheiptera","3796131","3796131","SPECIES","ACCEPTED"
"471","Mimosa sobralii Grings & O.S. Ribas","Mimosa sobralii Grings & O.S.Ribas","Mimosa sobralii","7888715","7888715","SPECIES","ACCEPTED"
"472","Mimosa urandiensis J.Santos-Silva, M.F.Simon & A.M.G.Azevedo","Mimosa urandiensis J.Santos-Silva, M.F.Simon & A.M.G.Azevedo","Mimosa urandiensis","7729607","7729607","SPECIES","ACCEPTED"
"473","Muellera laticifera (M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo","Muellera laticifera (M.J.Silva et al.) M.J.Silva & A.M.G.Azevedo","Muellera laticifera","7863242","7863242","SPECIES","ACCEPTED"
"474","Muellera nitens M.J. Silva & A.M.G. Azevedo","Muellera nitens M.J.Silva & A.M.G.Azevedo","Muellera nitens","7563491","7563491","SPECIES","ACCEPTED"
"475","Myrocarpus leprosus Pickel","Myrocarpus leprosus Pickel","Myrocarpus leprosus","2945762","2945762","SPECIES","ACCEPTED"
"476","Ormosia froesii Rudd","Ormosia froesii Rudd","Ormosia froesii","5355614","5355614","SPECIES","ACCEPTED"
"477","Ormosia limae D.B.O.S.Cardoso & L.P.Queiroz","Ormosia limae D.B.O.S.Cardoso & L.P.Queiroz","Ormosia limae","7720514","7720514","SPECIES","ACCEPTED"
"478","Ormosia timboensis D.B.O.S.Cardoso, Meireles & H.C.Lima","Ormosia timboensis D.B.O.S.Cardoso, Meireles & H.C.Lima","Ormosia timboensis","8235899","8235899","SPECIES","ACCEPTED"
"479","Panurea bowdichioides C.H.Stirt. ex Povydysh & M.Yu.Gontsch.","Panurea bowdichioides C.H.Stirt. ex Povydysh & M.Yu.Gontsch.","Panurea bowdichioides","7569947","7569947","SPECIES","ACCEPTED"
"480","Paramachaerium krukovii Rudd","Paramachaerium krukovii Rudd","Paramachaerium krukovii","2959528","2959528","SPECIES","ACCEPTED"
"481","Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis","Paubrasilia echinata (Lam.) Gagnon, H.C.Lima & G.P.Lewis","Caesalpinia echinata","9119360","2958549","SPECIES","SYNONYM"
"482","Peltogyne excelsa Ducke","Peltogyne excelsa Ducke","Peltogyne excelsa","2952723","2952723","SPECIES","ACCEPTED"
"483","Peltogyne micrantha Ducke","Peltogyne micrantha Ducke","Peltogyne parvifolia","2952696","2952695","SPECIES","SYNONYM"
"484","Piptadenia loefgreniana Hoehne","Piptadenia loefgreniana Hoehne","Piptadenia loefgreniana","3794920","3794920","SPECIES","ACCEPTED"
"485","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","Pterocarpus monophyllus Klitg., L.P.Queiroz & G.P.Lewis","Pterocarpus monophyllus","5612408","5612408","SPECIES","ACCEPTED"
"486","Pterocarpus ternatus Rizzini","Pterocarpus ternatus Rizzini","Pterocarpus ternatus","5349261","5349261","SPECIES","ACCEPTED"
"487","Senegalia cearensis Terra & Garcia","Senegalia cearensis Terra & Garcia","Senegalia cearensis","9338759","9338759","SPECIES","ACCEPTED"
"488","Senegalia giganticarpa (G.P.Lewis) Seigler & Ebinger","Senegalia giganticarpa (G.P.Lewis) Seigler & Ebinger","Senegalia giganticarpa","3796134","3796134","SPECIES","ACCEPTED"
"489","Senegalia incerta (Hoehne) Seigler & Ebinger","Senegalia incerta (Hoehne) Seigler & Ebinger","Senegalia incerta","7464219","7464219","SPECIES","ACCEPTED"
"490","Senegalia latifoliola (Kuntze) Seigler & Ebinger","Senegalia latifoliola (Kuntze) Seigler & Ebinger","Senegalia latifoliola","3796046","3796046","SPECIES","ACCEPTED"
"491","Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","Senegalia ricoae (Bocage & Miotto) L.P.Queiroz","Senegalia ricoae","7477287","7477287","SPECIES","ACCEPTED"
"492","Stryphnodendron duckeanum Occhioni","Stryphnodendron duckeanum Occhioni","Stryphnodendron duckeanum","2951715","2951715","SPECIES","ACCEPTED"
"493","Swartzia alagoensis R. B. Pinto, Torke & Mansano","Swartzia alagoensis R.B.Pinto, Torke & Mansano","Swartzia alagoensis","7944403","7944403","SPECIES","ACCEPTED"
"494","Swartzia arenophila R. B. Pinto, Torke & Mansano","Swartzia arenophila R.B.Pinto, Torke & Mansano","Swartzia arenophila","7557537","7557537","SPECIES","ACCEPTED"
"495","Swartzia fimbriata Ducke","Swartzia fimbriata Ducke","Swartzia fimbriata","5352100","5352100","SPECIES","ACCEPTED"
"496","Kerianthera longiflora Zappi & C.T. Oliveira","Kerianthera longiflora Zappi & C.T.Oliveira","Kerianthera longiflora","7614430","7614430","SPECIES","ACCEPTED"
"497","Ladenbergia chapadensis S.Moore","Ladenbergia chapadensis S.Moore","Ladenbergia chapadensis","2908648","2908648","SPECIES","ACCEPTED"
"498","Palicourea apiculata (Müll.Arg.) C.MTaylor","Palicourea apiculata (Müll.Arg.) C.MTaylor","Psychotria apiculata","9631092","2920102","SPECIES","SYNONYM"
"499","Palicourea fissistipula (Müll.Arg.) C.M.Taylor","Palicourea fissistipula (Müll.Arg.) C.M.Taylor","Psychotria fissistipula","9598606","2922314","SPECIES","SYNONYM"
"500","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","Palicourea forsteronioides (Müll.Arg.) C.M.Taylor","Psychotria forsteronioides","9555593","2921603","SPECIES","SYNONYM"
"501","Palicourea malaneoides (Müll.Arg.) C.M.Taylor","Palicourea malaneoides (Müll.Arg.) C.M.Taylor","Psychotria malaneoides","9288110","2921602","SPECIES","SYNONYM"
"502","Palicourea minutiflora (Müll.Arg.) C.M.Taylor","Palicourea minutiflora (Müll.Arg.) C.M.Taylor","Psychotria minutiflora","9404185","2922635","SPECIES","SYNONYM"
"503","Platycarpum egleri G.K.Rogers","Platycarpum egleri G.K.Rogers","Platycarpum egleri","2897723","2897723","SPECIES","ACCEPTED"
"504","Platycarpum froesii Bremek.","Platycarpum froesii Bremek.","Platycarpum froesii","2897739","2897739","SPECIES","ACCEPTED"
"505","Psychotria krukovii Standl.","Psychotria krukovii Standl.","Psychotria krukovii","2923124","2923124","SPECIES","ACCEPTED"
"506","Psychotria lagoensis Müll.Arg.","Psychotria lagoensis Müll.Arg.","Psychotria leiocarpa","2921845","2910821","SPECIES","SYNONYM"
"507","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","Psychotria subspathulata (Müll.Arg.) C.M.Taylor","Psychotria subspathulata","2923734","2923734","SPECIES","ACCEPTED"
"508","Remijia physophora Benth. ex K.Schum.","Remijia physophora Benth. ex K.Schum.","Remijia physophora","2909677","2909677","SPECIES","ACCEPTED"
