"","scientificName","scientificName_gbif","species_gbif","usageKey","sepciesKey","rank","status"
"322","Chimarrhis barbata (Ducke) Bremek.","Chimarrhis barbata (Ducke) Bremek.","Chimarrhis barbata","2918973","2918973","SPECIES","ACCEPTED"
"323","Chomelia parviflora (Müll.Arg.) Müll.Arg.","Chomelia parviflora Müll.Arg.","Chomelia parviflora","5337357","5337357","SPECIES","ACCEPTED"
"324","Chomelia parvifolia (Standl.) Govaerts","Chomelia parvifolia (Standl.) Govaerts","Chomelia parvifolia","5337329","5337329","SPECIES","ACCEPTED"
"325","Chomelia pedunculosa Benth.","Chomelia pedunculosa Benth.","Chomelia pedunculosa","5337306","5337306","SPECIES","ACCEPTED"
"326","Coussarea accedens Müll.Arg.","Coussarea accedens Müll.Arg.","Coussarea accedens","2904900","2904900","SPECIES","ACCEPTED"
"327","Coussarea andrei M.S.Pereira & M.R.V.Barbosa","Coussarea andrei M.S.Pereira & M.R.V.Barbosa","Coussarea andrei","8317524","8317524","SPECIES","ACCEPTED"
"328","Coussarea capitata (Benth.) Müll.Arg.","Coussarea capitata (Benth.) Müll.Arg.","Coussarea capitata","2904765","2904765","SPECIES","ACCEPTED"
"329","Coussarea congestiflora Müll.Arg.","Coussarea congestiflora Müll.Arg.","Coussarea congestiflora","2904820","2904820","SPECIES","ACCEPTED"
"330","Coussarea leptopus Müll.Arg.","Coussarea leptopus Müll.Arg.","Coussarea leptopus","2904873","2904873","SPECIES","ACCEPTED"
"331","Coussarea megistophylla Standl.","Coussarea megistophylla Standl.","Coussarea megistophylla","2904854","2904854","SPECIES","ACCEPTED"
"332","Coussarea verticillata Müll.Arg.","Coussarea verticillata Müll.Arg.","Coussarea verticillata","2904879","2904879","SPECIES","ACCEPTED"
"333","Duroia hirsutissima Steyerm.","Duroia hirsutissima Steyerm.","Duroia hirsutissima","2892082","2892082","SPECIES","ACCEPTED"
"334","Duroia palustris Ducke","Duroia palustris Ducke","Duroia palustris","2892132","2892132","SPECIES","ACCEPTED"
"335","Faramea bicolor J.G.Jardim & Zappi","Faramea bicolor J.G.Jardim & Zappi","Faramea bicolor","3848554","3848554","SPECIES","ACCEPTED"
"336","Faramea biflora J.G.Jardim & Zappi","Faramea biflora J.G.Jardim & Zappi","Faramea biflora","3848553","3848553","SPECIES","ACCEPTED"
"337","Faramea martiana Müll.Arg.","Faramea martiana Müll.Arg.","Faramea martiana","2898184","2898184","SPECIES","ACCEPTED"
"338","Faramea oligantha Müll.Arg.","Faramea oligantha Müll.Arg.","Faramea oligantha","2898012","2898012","SPECIES","ACCEPTED"
"339","Faramea truncata (Vell.) Müll.Arg.","Faramea truncata (Vell.) Müll.Arg.","Faramea caudata","2898033","2898111","SPECIES","SYNONYM"
"340","Ferdinandusa leucantha Standl.","Ferdinandusa leucantha Standl.","Ferdinandusa leucantha","2908018","2908018","SPECIES","ACCEPTED"
"341","Guettarda hoffmannseggii Müll.Arg.","Guettarda hoffmannseggii Müll.Arg.","Guettarda hoffmannseggii","2894617","2894617","SPECIES","ACCEPTED"
"342","Guettarda hypoglauca Standl.","Guettarda hypoglauca Standl.","Guettarda hypoglauca","2894791","2894791","SPECIES","ACCEPTED"
"343","Isertia longifolia (Hoffmanns. ex Schult.) K.Schum.","Isertia longifolia K.Schum.","Isertia longifolia","2903535","2903535","SPECIES","ACCEPTED"
"344","Ixora cowanii Bremek.","Ixora cowanii Bremek.","Ixora cowanii","2905596","2905596","SPECIES","ACCEPTED"
"345","Ixora martinsii Standl.","Ixora martinsii Standl.","Ixora martinsii","2905868","2905868","SPECIES","ACCEPTED"
"346","Ixora schottiana Müll.Arg.","Ixora schottiana Müll.Arg.","Ixora gardneriana","2905940","2905939","SPECIES","SYNONYM"
"347","Ixora truncata Müll.Arg.","Ixora truncata Müll.Arg.","Ixora gardneriana","2905941","2905939","SPECIES","SYNONYM"
"348","Psychotria alto-macahensis M. Gomes","Psychotria alto-macahensis M.Gomes","Psychotria alto-macahensis","3845437","3845437","SPECIES","ACCEPTED"
"349","Psychotria glaziovii Müll.Arg.","Psychotria glaziovii Müll.Arg.","Psychotria glaziovii","2923531","2923531","SPECIES","ACCEPTED"
"350","Remijia asperula Standl.","Remijia asperula Standl.","Remijia asperula","2909628","2909628","SPECIES","ACCEPTED"
"351","Rudgea agresteophila Zappi, J.G. Jardim & Bruniera","Rudgea agresteophila Zappi, J.G.Jardim & Bruniera","Rudgea agresteophila","8915585","8915585","SPECIES","ACCEPTED"
"352","Rudgea coriacea (Spreng.) K.Schum.","Rudgea coriacea (Spreng.) K.Schum.","Rudgea coriacea","2910625","2910625","SPECIES","ACCEPTED"
"353","Rudgea jacobinensis Müll.Arg.","Rudgea jacobinensis Müll.Arg.","Rudgea erioloba","2910610","2910832","SPECIES","SYNONYM"
"354","Rudgea malpighiacea Standl.","Rudgea malpighiacea Standl.","Rudgea malpighiacea","2910458","2910458","SPECIES","ACCEPTED"
"355","Rudgea mouririoides Standl.","Rudgea mouririoides Standl.","Rudgea mouririoides","2910467","2910467","SPECIES","ACCEPTED"
"356","Rudgea nodosa (Cham.) Benth.","Rudgea nodosa Benth.","Rudgea nodosa","2910488","2910488","SPECIES","ACCEPTED"
"357","Rudgea obtusa Standl.","Rudgea obtusa Standl.","Rudgea goyazensis","2910834","2910560","SPECIES","SYNONYM"
"358","Rudgea recurva Müll.Arg.","Rudgea recurva Müll.Arg.","Rudgea recurva","2910689","2910689","SPECIES","ACCEPTED"
"359","Schradera brasiliensis Mart. ex Schult.f. & Schult.","Schradera brasiliensis Mart. ex Schult.f.","Schradera brasiliensis","5336410","5336410","SPECIES","ACCEPTED"
"360","Simira pilosa M.R.V.Barbosa & Peixoto","Simira pilosa M.R.Barbosa & Peixoto","Simira corumbensis","5335276","5335284","SPECIES","SYNONYM"
"361","Sphinctanthus acutilobus Huber","Sphinctanthus acutilobus Huber","Sphinctanthus acutilobus","2893761","2893761","SPECIES","ACCEPTED"
"362","Stachyarrhena acutiloba Steyerm.","Stachyarrhena acutiloba Steyerm.","Stachyarrhena acutiloba","2907619","2907619","SPECIES","ACCEPTED"
"363","Stachyarrhena harleyi J.H.Kirkbr.","Stachyarrhena harleyi J.H.Kirkbr.","Stachyarrhena harleyi","2907629","2907629","SPECIES","ACCEPTED"
"364","Angostura quinquefolia Kallunki","Angostura quinquefolia Kallunki","Angostura quinquefolia","3836443","3836443","SPECIES","ACCEPTED"
"365","Conchocarpus diadematus Pirani","Conchocarpus diadematus Pirani","Conchocarpus diadematus","3832518","3832518","SPECIES","ACCEPTED"
"366","Conchocarpus fontanesianus (A. St.-Hil.) Kallunki & Pirani","Conchocarpus fontanesianus (A.St.-Hil.) Kallunki & Pirani","Conchocarpus fontanesianus","3835664","3835664","SPECIES","ACCEPTED"
